spotify_id,scraper_name,chartmasters_name,scraper_image_url,mb_id,mb_type_raw,parsed_artist_type,gender,country,birth_date,death_date,disband_date,debut_year,member_count,genres,primary_genre,secondary_genre,is_dead,is_disbanded
66ihevNkSYNzRAl44dx6jJ,Carín León,Carin Leon,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb69543997b9f68a0d2bb37a4a,db8efd58-7cd0-4ca8-a538-14ad6b44640b,Person,solo,male,MX,1989-07-26,,,2018,1,banda sinaloense; bolero; corrido; latin; mariachi; norteño; ranchera; reggaeton; regional mexicano; sierreño; vallenato,latin,other,FALSE,
1KCSPY1glIKqW2TotWuXOR,P!nk,P!nk,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb7bbad89a61061304ec842588,f4d5cc07-3bc9-4836-9b15-88a08359bc63,Person,solo,female,US,1979-09-08,,,2000,1,contemporary r&b; dance-pop; electropop; pop; pop rock; rock; singer-songwriter,pop,rock,FALSE,
540vIaP2JwjQb9dm3aArA4,DJ Snake,DJ Snake,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb7e57e2ed9b787ba5773b7cb9,31445b1e-96f3-4c7f-84ec-dd02e647e690,Person,solo,male,FR,1986-06-13,,,2013,1,alternative r&b; contemporary r&b; dance; edm; electropop; hip hop; moombahton; trap,hip hop,r&b,FALSE,
716NhGYqD1jl2wI1Qkgq36,Bizarrap,Bizarrap,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb14add0d3419426b84158b913,3b6abaef-febf-4cfe-943f-6a20cf0afdad,Person,solo,male,AR,1998-08-29,,,2019,1,pop; trap; trap edm; trap latino,latin,hip hop,FALSE,
6olE6TJLqED3rqDCT0FyPh,Nirvana,Nirvana,https://i.scdn.co/image/a4e10b79a642e9891383448cbf37d7266a6883d6,5b11f4ce-a62d-471e-81fc-a69a8278c7da,Group,group,male,US,,,1994-04-05,1988,3,acoustic rock; alternative metal; alternative rock; grunge; noise rock; post-hardcore; punk; punk rock; rock; sludge metal,rock,alternative,,TRUE
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,The Kid LAROI,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb47a63ec071646765439ba93a,80609a00-b394-4a49-975b-2db6b543fa97,Person,solo,male,AU,2003-08-16,,,2019,1,emo rap; hip hop; pop rap,hip hop,,FALSE,
26dSoYclwsYLMAKD3tpOr4,Britney Spears,Britney Spears,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb26e59b825251b7df20a7b65e,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Person,solo,female,US,1981-12-02,,,1998,1,dance-pop; electro house; electropop; pop; teen pop,pop,electronic,FALSE,
14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,Justin Quiles,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5eb2d05ef4037103c9e2a167a3c,e5fdb46c-eb73-4820-94ba-5dd5b35948cf,Person,solo,male,PR,1990-03-29,,,2011,1,latin; reggaeton,latin,,FALSE,
7FNnA9vBm6EKceENgCGRMb,Anitta,Anitta,https://image-cdn-fa.spotifycdn.com/image/ab6761610000e5ebda2a9d91c5f52a9088851251,d606b860-cc03-4959-a3fd-3a24bccf2560,Person,solo,female,BR,1993-03-30,,,2012,1,funk; latin; latin pop; pop; reggaeton; teen pop,latin,pop,FALSE,
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,Fleetwood Mac,https://image-cdn-ak.spotifycdn.com/image/ab6761610000e5ebc8752dd511cda8c31e9daee8,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,Group,group,mixed,GB,,,,1968,3,art pop; blues; blues rock; british blues; classic rock; pop; pop rock; rock; soft rock,rock,pop,,FALSE
